df1_index,df2_index,Song Name (df1),Artist (df1),Song Name (df2),Artist (df2)
1122,2094,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,Stereo Hearts (feat. Adam Levine),Gym Class Heroes
1123,2098,The Lazy Song,Bruno Mars,The Lazy Song,Bruno Mars
1124,1922,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5
1125,1133,Love You Like A Love Song,Selena Gomez & The Scene,Love It If We Made It,The 1975
1126,2337,Grenade,Bruno Mars,All About Us,He Is We
1127,1791,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,Because of You,Kelly Clarkson
1128,2337,S&M,Rihanna Featuring Britney Spears,All About Us,He Is We
1129,2337,Blow,Ke$ha,All About Us,He Is We
1130,2337,Motivation,Kelly Rowland Featuring Lil Wayne,All About Us,He Is We
1131,2337,All Of The Lights,Kanye West,All About Us,He Is We
1132,1216,Someone Like You,Adele,Someone Like You,Adele
1133,2337,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,All About Us,He Is We
